,tid,tfopwg_disp
0,207081058,0
1,29831208,0
2,235037761,0
3,176957796,0
4,277683130,0
5,403287048,0
6,231081369,0
7,389525208,0
8,220518305,0
9,253917293,0
10,99493790,0
11,79395355,0
12,350743714,0
13,51912829,0
14,76989773,0
15,300871545,0
16,260304296,0
17,280830734,0
18,278866211,0
19,260271203,0
20,300293197,0
21,260043723,0
22,260609205,0
23,47484268,0
24,9727392,0
25,120585579,0
26,149010208,0
27,350445771,0
28,279740441,0
29,373844472,0
30,382188882,0
31,277103955,0
32,166697854,0
33,434105231,0
34,389753172,0
35,188593930,0
36,175476629,0
37,144336525,0
38,233964642,0
39,55452495,0
40,69838258,0
41,415969574,0
42,382474101,0
43,47423120,0
44,9033144,0
45,441075486,0
46,139285736,0
47,220396259,0
48,207084429,0
49,229091748,0
50,92359850,0
51,271900960,0
52,328350926,0
53,9858404,0
54,38541473,0
55,219379012,0
56,219388773,0
57,259701242,0
58,176984236,0
59,349518800,0
60,176778112,0
61,167754523,0
62,206466531,0
63,7624182,0
64,325680697,0
65,49899799,0
66,339733013,0
67,279251651,0
68,408159788,0
69,169532369,0
70,70914192,0
71,459942762,0
72,38686737,0
73,44745077,0
74,143350972,0
75,316916655,0
76,14091704,0
77,1449640,0
78,14091633,0
79,77228304,0
80,38603673,0
81,20178111,0
82,52280468,0
83,172464366,0
84,427352241,0
85,88977253,0
86,108645766,0
87,121338379,0
88,274138511,0
89,431999925,0
90,318937509,0
91,308307606,0
92,403693875,0
93,438490744,0
94,302895996,0
95,53593457,0
96,32830028,0
97,161477033,0
98,1103432,0
99,1133072,0
100,289535142,0
101,410094645,0
102,190990336,0
103,294090620,0
104,146261607,0
105,196286587,0
106,146208651,0
107,145982812,0
108,122262940,0
109,186547153,0
110,80275202,0
111,267527924,0
112,30828562,0
113,101395259,0
114,365781372,0
115,123898871,0
116,349790953,0
117,348755723,0
118,344926234,0
119,286132427,0
120,146463781,0
121,78154865,0
122,82362447,0
123,432008938,0
124,78672342,0
125,349373192,0
126,33153766,0
127,54085154,0
128,73723286,0
129,102195674,0
130,147660201,0
131,151681127,0
132,151959065,0
133,308050066,0
134,445822015,0
135,101497191,0
136,55559618,0
137,219239945,0
138,391821647,0
139,275248683,0
140,131419878,0
141,131081852,0
142,152147232,0
143,162362398,0
144,181159386,0
145,229811538,0
146,143526444,0
147,255760319,0
148,175180796,0
149,307610438,0
150,32283946,0
151,229141709,0
152,364107753,0
153,348844154,0
154,425163745,0
155,219205407,0
156,189013222,0
157,449050247,0
158,449050248,0
159,146434840,0
160,453209605,0
161,148659924,0
162,52548453,0
163,113553629,0
164,54044474,0
165,253990973,0
166,31858844,0
167,381979901,0
168,231663901,1
169,149603524,1
170,336732616,1
171,231670397,1
172,144065872,1
173,38846515,1
174,92352620,1
175,289793076,1
176,29344935,1
177,281459670,1
178,355703913,1
179,388104525,1
180,97409519,1
181,25155310,1
182,281541555,1
183,238176110,1
184,322307342,1
185,266980320,1
186,394137592,1
187,290131778,1
188,52368076,1
189,70440470,1
190,234523599,1
191,267263253,1
192,410153553,1
193,403224672,1
194,25375553,1
195,261136679,1
196,29857954,1
197,425997655,1
198,307210830,1
199,100100827,1
200,279741379,1
201,166739520,1
202,183532609,1
203,183537452,1
204,211438925,1
205,230982885,1
206,441462736,1
207,410214986,1
208,55652896,1
209,77044471,1
210,120610833,1
211,204376737,1
212,402026209,1
213,9725627,1
214,77031414,1
215,158623531,1
216,160148385,1
217,184240683,1
218,204317710,1
219,92226327,1
220,12862099,1
221,122612091,1
222,159951311,1
223,166836920,1
224,268766053,1
225,327952677,1
226,145750719,1
227,114749636,1
228,116156517,1
229,228381868,1
230,77031413,1
231,422655579,1
232,382391899,1
233,1129033,1
234,35857242,1
235,120896927,1
236,257567854,1
237,166833457,1
238,170634116,1
239,152476657,1
240,178284730,1
241,43647325,1
242,78055054,1
243,32499655,1
244,13021029,1
245,117979897,1
246,139528693,1
247,139733308,1
248,452808876,1
249,270380593,1
250,4616072,1
251,33521996,1
252,47911178,1
253,52640302,1
254,59843967,1
255,170102285,1
256,306362738,1
257,393414358,1
258,455096220,1
259,455135327,1
260,468987719,1
261,17746821,1
262,22529346,1
263,134537478,1
264,268644785,1
265,425206121,1
266,440777904,1
267,366576758,1
268,281909674,1
269,280210963,1
270,234825296,1
271,234112540,1
272,37168957,1
273,36440357,1
274,36352297,1
275,42821097,1
276,192826603,1
277,13349647,1
278,270468559,1
279,315002523,1
280,408310006,1
281,423275733,1
282,399870368,1
283,379929661,1
284,35516889,1
285,36734222,1
286,48103627,1
287,53189332,1
288,53735810,1
289,55092869,1
290,101955023,1
291,169226822,1
292,437248515,1
293,281731203,1
294,437242640,1
295,15445551,1
296,104024556,1
297,14614418,1
298,14661418,1
299,61538902,1
300,219698950,1
301,229047362,1
302,248075138,1
303,248111245,1
304,286865921,1
305,294301883,1
306,398943781,1
307,413376180,1
308,46096489,1
309,73717937,1
310,111991770,1
311,127530399,1
312,220029715,1
313,243200602,1
314,271168962,1
315,404340025,1
316,466840711,1
317,437333618,1
318,404467699,1
319,178367144,1
320,16288184,1
321,66818296,1
322,7088246,1
323,201604954,1
324,6663331,1
325,31858843,1
326,360742636,1
327,380589029,1
