,tceid,ticid,planetNumber,planetCandidateCount,starTeffKelvin,starLoggCgs,orbitalPeriodDays,orbitalPeriodDays_err,planetRadiusEarthRadii,planetRadiusEarthRadii_err,ratioPlanetRadiusToStarRadius,ratioSemiMajorAxisToStarRadius,semiMajorAxisAu,starRadiusSolarRadii,transitDepthPpm,transitDepthPpm_err,transitDurationHours,transitEpochBtjd,transitEpochBtjd_err,transitIngressTimeHours,minImpactParameter,ws_mes,ws_mesphase,expectedtransitcount,chiSquare2,mes,maxses,equilibriumTempKelvin,InsolationFlux,star_tessid,twomass,gaiaid,sector,magnitude,luminosity,metallicity,distance,star_mass,star_radius,constellation,rightascension,declination
0,00139250626-01,139250626,1,1,3752.0,4.438,31.3318,0.00267395,3.13843,1.1241,0.0287481,65.7255,0.194601,1.0,988.228,119.204,3.7466,1347.45,0.00189868,0.104707,0.00341183,6.18694,1.79583,2,4.2702,8.606860000000001,7.6734,375.30300000000005,4.68867,139250626,23083495-4300530,6.541747637241521e+18,s0001,8.302,GIANT,,935.9010000000001,,33.0704,Grus,347.14561552,-43.01470137
1,00139281803-01,139281803,1,1,5818.0,4.42453,30.0046,0.0117272,4.5759,0.6492220000000001,0.0403149,18.9556,0.192042,1.0397,1252.43,172.62900000000005,4.97579,1348.62,0.0100496,1.9601,0.955717,3.95842,-6.50833,2,1.6484299999999998,8.61389,7.42655,597.34,30.0891,139281803,23102280-4221542,6.542153322672376e+18,s0001,8.6609,DWARF,,80.03399999999999,1.05,1.03085,Grus,347.5950157,-42.365065799999996
2,00139285666-01,139285666,1,2,5561.91,4.438,0.698056,2.99706e-05,1.30396,0.319271,0.0139042,1.7831099999999998,0.0139239,0.859049,200.875,28.3924,2.47283,1325.47,0.00107539,0.0703411,0.699984,10.505,0.35,81,85.9026,7.67025,4.59272,1927.72,3263.61,139285666,23115205-4508106,6.527965258988306e+18,s0001,8.1197,DWARF,,47.9478,0.98,0.854082,Grus,347.96688992,-45.13628722
4,00139285669-01,139285669,1,1,3260.0,4.438,0.69797,0.000119668,22.1632,17.9022,0.203016,1.28088,0.015406799999999997,1.0,19604.2,1637.01,5.42777,1325.47,0.00499766,2.71388,0.969172,11.9144,0.34444,81,59.90600000000001,10.4697,3.74261,1158.92,426.317,139285669,23115362-4508004,6.527965293348045e+18,s0002,11.2678,DWARF,,47.2557,0.524345,0.5272640000000001,Grus,347.97349312,-45.1334545
5,00139300891-01,139300891,1,2,5380.0,4.42414,0.909372,5.83408e-05,2.01278,2.05091,0.018777,1.82858,0.0179642,0.981901,366.693,50.0413,3.15276,1325.46,0.00179521,0.119273,0.699495,7.09093,0.25694,62,35.9793,8.151769999999999,3.00604,1755.11,2242.52,139300891,23125058-4445067,6.529478491929598e+18,s0001,9.901,DWARF,,119.105,,0.981901,Grus,348.21087524,-44.75191729
7,00139370701-01,139370701,1,1,6632.0,4.438,1.12006,6.63985e-05,2.12472,0.360944,0.0128575,1.91393,0.0278405,1.51371,169.743,22.0864,3.5545400000000003,1325.6,0.00164973,0.0966018,0.716097,6.463430000000002,0.7416699999999999,50,27.4904,8.3912,2.93959,2157.84,5123.85,139370701,04290442-6936439,4.655915699018916e+18,s0001,7.7873,DWARF,,84.2241,1.39,1.3111,Hydrus,67.2684518,-69.61221111
8,00140609384-01,140609384,1,1,5925.5,4.26541,21.6031,0.00404237,6.46235,0.8743989999999999,0.0467383,16.7917,0.15573299999999998,1.26653,1767.61,190.546,4.44803,1327.8,0.00472535,1.57909,0.944214,2.84735,-0.36806,3,3.49859,13.3131,11.6316,745.65,73.0567,140609384,04452817-7416500,4.652288410160431e+18,s0001,9.8838,DWARF,-0.26276900000000003,180.046,1.08,1.33687,Mensa,71.36741356,-74.28057199999999
9,00140659980-01,140659980,1,2,5642.4,3.0,9.44023,5.5471899999999986e-05,74.6496,13.7068,0.327094,15.5066,0.0474218,2.09051,44672.0,44071.7,4.068230000000002,1328.27,0.000158074,2.03412,1.0,261.593,4.45833,6,3506.18,520.391,262.369,1653.08,1764.78,140659980,04495359-7227454,4.652999862916215e+18,s0005,8.9849,DWARF,-1.03,148.437,1.0,1.97128,Mensa,72.47335282,-72.46261858
11,00140859822-01,140859822,1,1,3186.0,5.02428,24.6791,0.00315482,3.34665,0.640652,0.13100599999999998,68.2629,0.0988429,0.234,16105.9,1660.92,2.11898,1334.84,0.0023182,0.7087640000000001,0.8310569999999999,8.68961,11.3167,2,31.4321,14.8829,15.2967,216.308,0.5173840000000001,140859822,05042740-7401505,,s0001,12.068,DWARF,,46.0614,0.21100000000000002,0.23399999999999999,Mensa,76.1144,-74.0306
12,00140940493-01,140940493,1,2,5516.25,4.50311,0.248928,9.60069e-06,1.72753,1.6800099999999998,0.0173035,2.22492,0.00767421,0.914511,336.684,29.2475,0.811024,1325.39,0.000663257,0.0188268,0.476001,15.7998,0.12396,226,169.05900000000003,10.5782,3.15381,2657.14,11780.8,140940493,05080432-7242324,4.651398389869014e+18,s0005,10.2112,DWARF,-0.0243424,114.31200000000001,0.97,0.8206469999999999,Mensa,77.01803566,-72.70898943
